State Code,State Name,Country Code,Country Name
BDS,Badakhshan,AF,Afghanistan
BDG,Badghis,AF,Afghanistan
BGL,Baghlan,AF,Afghanistan
BAL,Balkh,AF,Afghanistan
BAM,Bamyan,AF,Afghanistan
DAY,Daykundi,AF,Afghanistan
FRA,Farah,AF,Afghanistan
FYB,Faryab,AF,Afghanistan
GHA,Ghazni,AF,Afghanistan
GHO,Ghōr,AF,Afghanistan
HEL,Helmand,AF,Afghanistan
HER,Herat,AF,Afghanistan
JOW,Jowzjan,AF,Afghanistan
KAB,Kabul,AF,Afghanistan
KAN,Kandahar,AF,Afghanistan
KAP,Kapisa,AF,Afghanistan
KHO,Khost,AF,Afghanistan
KNR,Kunar,AF,Afghanistan
KDZ,Kunduz Province,AF,Afghanistan
LAG,Laghman,AF,Afghanistan
LOG,Logar,AF,Afghanistan
NAN,Nangarhar,AF,Afghanistan
NIM,Nimruz,AF,Afghanistan
NUR,Nuristan,AF,Afghanistan
PIA,Paktia,AF,Afghanistan
PKA,Paktika,AF,Afghanistan
PAN,Panjshir,AF,Afghanistan
PAR,Parwan,AF,Afghanistan
SAM,Samangan,AF,Afghanistan
SAR,Sar-e Pol,AF,Afghanistan
TAK,Takhar,AF,Afghanistan
URU,Urozgan,AF,Afghanistan
ZAB,Zabul,AF,Afghanistan
1,Berat County,AL,Albania
BR,Berat District,AL,Albania
BU,Bulqizë District,AL,Albania
DL,Delvinë District,AL,Albania
DV,Devoll District,AL,Albania
9,Dibër County,AL,Albania
DI,Dibër District,AL,Albania
2,Durrës County,AL,Albania
DR,Durrës District,AL,Albania
3,Elbasan County,AL,Albania
4,Fier County,AL,Albania
FR,Fier District,AL,Albania
5,Gjirokastër County,AL,Albania
GJ,Gjirokastër District,AL,Albania
GR,Gramsh District,AL,Albania
HA,Has District,AL,Albania
